UACE CD,UZA Name,UZA Population,Total Vehicle Revenue Miles,Total Vehicle Revenue Hours,Total Passenger Miles Traveled,Total Unlinked Passenger Trips,Total Operating Expenses,Fixed Guideway Directional Route Miles,Fixed Guideway Vehicle Revenue Miles,Fixed Guideway Passenger Miles,Fixed Guideway Operating Expenses,Non-Fixed Guideway Vehicle Revenue Miles,Non-Fixed Guideway Passenger Miles,Non-Fixed Guideway Operating Expenses,Fixed Guideway Directional Route Miles >= 7 Years,Fixed Guideway Vehicle Revenue Miles >= 7 Years,High Intensity Bus Directional Route Miles >= 7 Years,High Intensity Bus Vehicle Revenue Miles >= 7 Years
19234,"Columbus, OH",1567254,14684057,1055374,45177908,10422055,"$147,812,591.00 ",0,0,0,$0.00 ,14684057,45177908,"$147,812,591.00 ",0,0,0,0
90892,"Virginia Beach--Norfolk, VA",1451578,13397779,898575,35086546,6471532,"$100,071,912.00 ",17,363830,2386568,"$14,965,434.00 ",13033949,32699978,"$85,106,478.00 ",17,363830,70.7,425686
15670,"Charlotte, NC--SC",1379873,17328267,1265869,61301791,13102549,"$185,749,909.00 ",44,1761872,18819878,"$45,794,283.00 ",15566395,42481913,"$139,955,626.00 ",21.2,859879,0,0
57466,"Milwaukee, WI",1306795,21071419,1592548,71466259,19827165,"$171,553,989.00 ",15,148920,586801,"$5,315,627.00 ",20922499,70879458,"$166,238,362.00 ",10.7,66703,0,0
72505,"Providence, RI--MA",1285806,14186003,1003393,58771084,10900762,"$123,990,743.00 ",124,229631,2487462,"$3,871,022.00 ",13956372,56283622,"$120,119,721.00 ",121.9,122121,0,0
42346,"Jacksonville, FL",1247374,10694613,722695,33687891,6113013,"$126,894,824.00 ",6,107668,465739,"$10,430,993.00 ",10586945,33222152,"$116,463,831.00 ",6.3,107668,0,0
78499,"Salt Lake City, UT",1178533,21268562,1295171,131867658,21677045,"$262,093,262.00 ",159,7641681,77713257,"$117,627,494.00 ",13626881,54154401,"$144,465,768.00 ",159,7641681,0,0
61273,"Nashville-Davidson, TN",1158642,10159045,690255,37485654,6612052,"$81,263,597.00 ",63,150174,1276082,"$4,276,319.00 ",10008871,36209572,"$76,987,278.00 ",62.8,150174,0,0
73261,"Raleigh, NC",1106646,12068299,858331,30137180,7962223,"$75,673,760.00 ",0,0,0,$0.00 ,12068299,30137180,"$75,673,760.00 ",0,0,0,0
74746,"Richmond, VA",1059150,8296907,628903,40038631,8909008,"$65,134,428.00 ",15,418327,4392358,"$5,090,137.00 ",7878580,35646273,"$60,044,291.00 ",0,0,0,0
56116,"Memphis, TN--MS--AR",1056190,5741608,373895,15692725,2976709,"$59,932,415.00 ",10,86905,348497,"$4,789,596.00 ",5654703,15344228,"$55,142,819.00 ",10,86905,0,0
65080,"Oklahoma City, OK",982276,4256778,289206,12565656,2646652,"$36,023,856.00 ",14,156349,619303,"$6,265,639.00 ",4100429,11946353,"$29,758,217.00 ",8.6,3419,0,0
37243,"Hartford, CT",977158,14946015,1100820,67602114,11482546,"$168,060,953.00 ",20,1162757,8183406,"$18,242,487.00 ",13783258,59418708,"$149,818,466.00 ",19.6,1162757,39.3,401892
51755,"Louisville/Jefferson County, KY--IN",974397,10416352,810893,21606932,5403216,"$90,900,348.00 ",0,0,0,$0.00 ,10416352,21606932,"$90,900,348.00 ",0,0,0,0
62677,"New Orleans, LA",963212,9873249,908830,46455106,13678111,"$159,677,059.00 ",30,811767,8927733,"$39,977,000.00 ",9061482,37527373,"$119,700,059.00 ",29.9,811767,7,200410
11350,"Buffalo, NY",948864,9706927,841023,41977670,13150070,"$137,017,574.00 ",12,794884,5250351,"$27,992,220.00 ",8912043,36727319,"$109,025,354.00 ",12.4,794884,0,0
10162,"Bridgeport--Stamford, CT--NY",916408,10922416,699808,111018945,11899517,"$171,112,808.00 ",51,5006229,85060674,"$107,593,043.00 ",5916187,25958271,"$63,519,765.00 ",131.2,5006229,0,0
88732,"Tucson, AZ",875441,12064653,939650,60019678,14912828,"$92,161,524.00 ",8,198471,1430386,"$4,436,350.00 ",11866182,58589292,"$87,725,174.00 ",7.8,198471,0,0
27253,"El Paso, TX--NM",854584,7501164,478206,31751833,5248385,"$54,035,882.00 ",5,26249,91507,"$1,590,795.00 ",7474915,31660326,"$52,445,087.00 ",0,0,0,0
39889,"Honolulu, HI",853252,23471032,1756567,168683509,34851019,"$272,564,592.00 ",2,219657,2080171,"$2,830,468.00 ",23251375,166603338,"$269,734,124.00 ",1,117734,20.5,176531
65269,"Omaha, NE--IA",819508,4763320,319899,11824303,2775067,"$36,187,591.00 ",0,0,0,$0.00 ,4763320,11824303,"$36,187,591.00 ",0,0,0,0
52390,"McAllen, TX",779553,2187561,110097,1197036,827333,"$10,230,958.00 ",0,0,0,$0.00 ,2187561,1197036,"$10,230,958.00 ",0,0,0,0
9536,"Bradenton--Sarasota--Venice, FL",779075,5864039,401829,17190453,3271067,"$41,233,970.00 ",0,0,0,$0.00 ,5864039,17190453,"$41,233,970.00 ",0,0,0,0
7786,"Birmingham, AL",774956,3286739,197655,12447381,1832421,"$34,649,176.00 ",0,0,0,$0.00 ,3286739,12447381,"$34,649,176.00 ",0,0,0,0
1171,"Albuquerque, NM",769837,7750653,490513,35044457,5602202,"$97,900,588.00 ",226,2111877,21818721,"$44,625,991.00 ",5638776,13225736,"$53,274,597.00 ",193.1,1305359,0,0
88948,"Tulsa, OK",722810,3454244,228778,8589803,1548388,"$23,486,463.00 ",0,0,0,$0.00 ,3454244,8589803,"$23,486,463.00 ",0,0,0,0
31843,"Fresno, CA",717589,5948253,499456,24456835,7205414,"$62,615,021.00 ",0,0,0,$0.00 ,5948253,24456835,"$62,615,021.00 ",0,0,0,0
75664,"Rochester, NY",704327,6785634,551794,24262692,7595249,"$92,739,211.00 ",0,0,0,$0.00 ,6785634,24262692,"$92,739,211.00 ",0,0,0,0
15508,"Charleston, SC",684773,3418818,243166,11394692,2232654,"$23,908,904.00 ",0,0,0,$0.00 ,3418818,11394692,"$23,908,904.00 ",0,0,0,0
22528,"Dayton, OH",674046,6620831,446317,36103494,5724469,"$67,125,191.00 ",126,1053601,8644576,"$13,494,868.00 ",5567230,27458918,"$53,630,323.00 ",125.7,1053601,0,0
57709,"Mission Viejo--Lake Forest--Laguna Niguel, CA",646843,3568150,246703,13097710,3027974,"$52,625,878.00 ",54,849445,1810756,"$20,463,762.00 ",2718705,11286954,"$32,162,116.00 ",54,849445,0,0
18856,"Colorado Springs, CO",632494,4265194,294102,11638110,2430151,"$33,625,896.00 ",0,0,0,$0.00 ,4265194,11638110,"$33,625,896.00 ",0,0,0,0
5680,"Baton Rouge, LA",631326,3218768,244705,6811271,1367438,"$35,945,389.00 ",0,0,0,$0.00 ,3218768,6811271,"$35,945,389.00 ",0,0,0,0
1495,"Allentown--Bethlehem, PA--NJ",621703,4678486,330531,16592451,2962154,"$41,276,332.00 ",0,0,0,$0.00 ,4678486,16592451,"$41,276,332.00 ",0,0,0,0
64945,"Ogden--Layton, UT",608857,8885951,502574,64195816,5572749,"$90,529,676.00 ",71,1865374,40044370,"$28,589,440.00 ",7020577,24151446,"$61,940,236.00 ",70.5,1865374,0,0
34300,"Grand Rapids, MI",605666,7157372,505474,25596658,5518051,"$45,818,568.00 ",19,330285,1546288,"$2,460,270.00 ",6827087,24050370,"$43,358,298.00 ",19,330285,0,0
13510,"Cape Coral, FL",599242,4505063,279558,11622742,2206183,"$25,351,270.00 ",0,0,0,$0.00 ,4505063,11622742,"$25,351,270.00 ",0,0,0,0
45640,"Knoxville, TN",597257,4507036,309880,7852469,2223417,"$27,414,180.00 ",0,0,0,$0.00 ,4507036,7852469,"$27,414,180.00 ",0,0,0,0
970,"Albany--Schenectady, NY",593142,11265469,873655,51881100,11571706,"$117,479,363.00 ",0,0,0,$0.00 ,11265469,51881100,"$117,479,363.00 ",0,0,0,0
18964,"Columbia, SC",590407,3608351,234487,8800382,1664148,"$28,732,950.00 ",0,0,0,$0.00 ,3608351,8800382,"$28,732,950.00 ",0,0,0,0
72559,"Provo--Orem, UT",588609,5028262,300515,37518363,3533780,"$55,552,975.00 ",47,1244052,22816222,"$18,412,235.00 ",3784210,14702141,"$37,140,740.00 ",38.9,1022232,0,0
4681,"Bakersfield, CA",570235,3760652,292405,11387202,3201508,"$34,018,178.00 ",0,0,0,$0.00 ,3760652,11387202,"$34,018,178.00 ",0,0,0,0
62407,"New Haven, CT",561456,12415527,702021,108622308,9866933,"$198,462,336.00 ",152,6193245,89799808,"$134,407,544.00 ",6222282,18822500,"$64,054,792.00 ",125,6193245,0,0
23743,"Des Moines, IA",542486,4567016,276638,13496358,2586848,"$32,005,342.00 ",0,0,0,$0.00 ,4567016,13496358,"$32,005,342.00 ",0,0,0,0
766,"Akron, OH",541879,5788574,431170,16817970,4279096,"$61,573,974.00 ",0,0,0,$0.00 ,5788574,16817970,"$61,573,974.00 ",0,0,0,0
19504,"Concord--Walnut Creek, CA",538583,14553380,602062,86325910,7508917,"$138,284,588.00 ",37,11755826,78358787,"$100,487,153.00 ",2797554,7967123,"$37,797,435.00 ",36.5,11755826,0,0
